Year,Canada,Australia,Note
1970,10180300,7318700,
1971,10247300,7326600,
1972,11628500,7795600,
1973,14626800,9384600,
1974,16367500,10664700,
1975,16712900,11055100,
1976,16833100,10864300,
1977,17466400,11306500,
1978,18472000,12122300,
1979,20846400,13022500,
1980,22453000,13648800,
1981,22097100,13219500,
1982,19653800,13187900,Early 1980s recession
1983,18107900,12601500,
1984,19382600,13236800,
1985,19688400,14412100,
1986,20378500,15497300,
1987,19946500,16880200,
1988,22379400,18816300,
1989,21273800,15114300,
1990,20601400,17553400,
1991,16586500,21860100,
1992,16818300,23886600,
1993,17516500,26929300,
1994,18104800,26888500,
1995,20291100,28831400,
1996,22856000,30075100,
1997,23981500,30953500,
1998,24653300,30185700,
1999,24602000,31579700,
2000,41767974,32577569,
2001,40451914,33477398,
2002,23323029,39021581,Significant drop in passengers after 9/11
2003,35884417,41386432,
2004,40701307,41596552,
2005,45229860,44657324,
2006,46726978,46951775,
2007,52103547,48728837,
2008,53718757,51488427,
2009,52583516,50026967,Slight decrease due to<br>2008 financial crisis
2010,63277409.38,60640913,
2011,66078011.95,63360310.34,
2012,70467400.79,66355274,
2013,71526725.92,68197955,
2014,75528607,68123237.67,
2015,80228302,69779346,
2016,85406425,72446421,
2017,91404001,74257326,
2018,89380000,75667645.03,